date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:46:31	624657/624657	---M-Z	200	added ('OK')	application/javascript	etag:%2263d98f1e-23ee6%22	http://fast.wistia.com/assets/external/E-v1.js	M:/Copier%20download/CG/Crypto/fast.wistia.com/assets/external/E-v1.js	(from https://www.cryptogods.life/)
09:46:31	144739/144739	---M--	200	added ('OK')	image/jpeg	etag:%22b7a967a32af3dda050efe926440f0dd6%22	https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/themes/2151160110/settings_images/xaDOqXo3Qduz10LYYEeh_55vlQIl.jpeg	M:/Copier%20download/CG/Crypto/kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/themes/2151160110/settings_images/xaDOqXo3Qduz10LYYEeh_55vlQIl.jpg	(from https://www.cryptogods.life/)
09:46:32	184911/184911	---M--	200	added ('OK')	image/jpeg	etag:%22ff42b017840c69dd0d8b6b1a76d43a4e%22	https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/themes/2151160110/settings_images/cXFmcs6PTXmNWVmNap2u_1o6hvZM.jpeg	M:/Copier%20download/CG/Crypto/kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/themes/2151160110/settings_images/cXFmcs6PTXmNWVmNap2u_1o6hvZM.jpg	(from https://www.cryptogods.life/)
09:46:32	201588/201588	---M--	200	added ('OK')	image/png	etag:%22b17761cbb44ca68a936bea8be11d43b2%22	https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/themes/2151160110/settings_images/2hmdecRUOL5b1oqZ6FFw_7HH93VO.png	M:/Copier%20download/CG/Crypto/kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/themes/2151160110/settings_images/2hmdecRUOL5b1oqZ6FFw_7HH93VO.png	(from https://www.cryptogods.life/)
09:46:32	192965/192965	---M--	200	added ('OK')	image/png	etag:%22bd1b802ba8b4f2da1b82abbf58529acf%22	https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/themes/2151160110/settings_images/3ytCvOvCTcqZf7y8ZgvR_twq0jxW.png	M:/Copier%20download/CG/Crypto/kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/themes/2151160110/settings_images/3ytCvOvCTcqZf7y8ZgvR_twq0jxW.png	(from https://www.cryptogods.life/)
09:46:32	113062/113062	---M--	200	added ('OK')	image/jpeg	etag:%22359da64c1fd8391205e607871993e0da%22	https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/themes/2151160110/settings_images/3tgx2CVORHaQaKX4k9vR_NYEJxjE.jpeg	M:/Copier%20download/CG/Crypto/kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/themes/2151160110/settings_images/3tgx2CVORHaQaKX4k9vR_NYEJxjE.jpg	(from https://www.cryptogods.life/)
09:46:32	124109/124109	---M--	200	added ('OK')	image/jpeg	etag:%22b5a8550c7997fda7bc99d3be166fa3f0%22	https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/themes/2151160110/settings_images/dBAbf3cSGdoh7W7RlXGA_3aJRVC3.jpeg	M:/Copier%20download/CG/Crypto/kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/themes/2151160110/settings_images/dBAbf3cSGdoh7W7RlXGA_3aJRVC3.jpg	(from https://www.cryptogods.life/)
09:46:32	151030/151030	---M--	200	added ('OK')	image/jpeg	etag:%224dfe2282dcbcd3c303baed99b9201b0d%22	https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/themes/2151160110/settings_images/vg5cAp2yQMi2gtbHbCZb_ygPjOb2.jpeg	M:/Copier%20download/CG/Crypto/kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/themes/2151160110/settings_images/vg5cAp2yQMi2gtbHbCZb_ygPjOb2.jpg	(from https://www.cryptogods.life/)
09:46:33	677619/677619	---M--	200	added ('OK')	image/png	etag:%227fbc87fabd3d3c411f6daae0a0b5bb64%22	https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/themes/2151160110/settings_images/fCOJkXsmRAO5eASmLdxG_Y5LFAfASlKMTXQ35C6oH_samuel_snell_profiel_pic_verified.png	M:/Copier%20download/CG/Crypto/kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/themes/2151160110/settings_images/fCOJkXsmRAO5eASmLdxG_Y5LFAfASlKMTXQ35C6oH_samuel_snell_profiel_pic_verified.png	(from https://www.cryptogods.life/)
09:46:33	973061/973061	---M--	200	added ('OK')	image/png	etag:%22eb73e8a0381a30559666f4a7b3d4d80b%22	https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/themes/2151160110/settings_images/4PDyPgiQBacgWGTSzTog_Vvqz0mSR3657D4B6y8iw_lachie.png	M:/Copier%20download/CG/Crypto/kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/themes/2151160110/settings_images/4PDyPgiQBacgWGTSzTog_Vvqz0mSR3657D4B6y8iw_lachie.png	(from https://www.cryptogods.life/)
